datetime;Level 101 (m);Level 102 (m);Level 103(m)
23/02/2024;0,7285;0,5051;0,9434
23/02/2024;0,7279;0,5082;0,943
23/02/2024;0,7273;0,5113;0,9426
23/02/2024;0,7264;0,5138;0,9425
23/02/2024;0,7266;0,5167;0,9427
23/02/2024;0,7259;0,5189;0,9424
23/02/2024;0,7263;0,5213;0,9433
23/02/2024;0,7266;0,5243;0,943
24/02/2024;0,7258;0,5265;0,9422
24/02/2024;0,7264;0,53;0,9425
24/02/2024;0,7252;0,5302;0,9415
24/02/2024;0,7248;0,5305;0,9414
24/02/2024;0,7247;0,5315;0,9414
24/02/2024;0,7247;0,5329;0,9415
24/02/2024;0,7255;0,5349;0,9422
24/02/2024;0,7256;0,5364;0,9429
24/02/2024;0,7257;0,5383;0,9431
24/02/2024;0,7251;0,5498;0,9428
24/02/2024;0,7257;0,5737;0,9437
24/02/2024;0,7255;0,5882;0,9437
24/02/2024;0,7246;0,6009;0,9433
24/02/2024;0,7239;0,6123;0,9429
24/02/2024;0,7237;0,623;0,9428
24/02/2024;0,7232;0,6333;0,9426
24/02/2024;0,7237;0,6385;0,9432
24/02/2024;0,7233;0,6432;0,9434
24/02/2024;0,7224;0,6481;0,9429
24/02/2024;0,7219;0,6538;0,9428
24/02/2024;0,7215;0,667;0,9429
24/02/2024;0,7213;0,674;0,943
24/02/2024;0,7211;0,6804;0,9432
24/02/2024;0,7199;0,6858;0,9426
24/02/2024;0,72;0,6912;0,9433
24/02/2024;0,7195;0,696;0,9433
24/02/2024;0,7187;0,6997;0,9427
24/02/2024;0,7181;0,7037;0,9431
24/02/2024;0,7169;0,7069;0,9422
24/02/2024;0,7163;0,71;0,9424
24/02/2024;0,715;0,7125;0,9417
24/02/2024;0,7144;0,7151;0,9417
24/02/2024;0,713;0,7165;0,9414
24/02/2024;0,7106;0,7183;0,9408
24/02/2024;0,7073;0,7197;0,9402
24/02/2024;0,705;0,7205;0,9395
24/02/2024;0,7035;0,7209;0,9384
24/02/2024;0,703;0,7213;0,9381
24/02/2024;0,7027;0,7215;0,9383
24/02/2024;0,702;0,7215;0,9387
24/02/2024;0,7005;0,721;0,9378
24/02/2024;0,6989;0,7203;0,9365
24/02/2024;0,698;0,7191;0,9362
24/02/2024;0,697;0,7185;0,9356
24/02/2024;0,6965;0,7182;0,9358
24/02/2024;0,6954;0,7176;0,9355
24/02/2024;0,6942;0,7168;0,9344
24/02/2024;0,6929;0,7158;0,9337
24/02/2024;0,692;0,7151;0,9334
24/02/2024;0,6909;0,7142;0,933
24/02/2024;0,69;0,7135;0,9323
24/02/2024;0,6886;0,7127;0,9313
24/02/2024;0,6866;0,7117;0,93
24/02/2024;0,6863;0,7112;0,9299
24/02/2024;0,6858;0,7108;0,9298
24/02/2024;0,6851;0,71;0,9293
24/02/2024;0,6844;0,7099;0,9292
24/02/2024;0,6833;0,7091;0,9286
24/02/2024;0,6821;0,7084;0,9276
24/02/2024;0,6806;0,7073;0,9267
24/02/2024;0,6797;0,7066;0,9262
24/02/2024;0,6794;0,7061;0,9263
24/02/2024;0,6784;0,705;0,9256
24/02/2024;0,6773;0,7042;0,9252
24/02/2024;0,6766;0,7038;0,9252
24/02/2024;0,6753;0,703;0,9243
24/02/2024;0,6744;0,7022;0,9238
24/02/2024;0,6741;0,7018;0,9242
24/02/2024;0,6726;0,7007;0,9229
24/02/2024;0,6715;0,6995;0,9227
24/02/2024;0,6709;0,6995;0,9226
24/02/2024;0,6704;0,6987;0,9222
24/02/2024;0,6696;0,698;0,9224
24/02/2024;0,6687;0,6976;0,9223
24/02/2024;0,6678;0,6966;0,9217
24/02/2024;0,6678;0,6964;0,922
24/02/2024;0,6668;0,6955;0,9215
24/02/2024;0,6667;0,6952;0,9219
24/02/2024;0,6664;0,6948;0,9218
24/02/2024;0,665;0,6938;0,9209
24/02/2024;0,6645;0,6933;0,9209
24/02/2024;0,6636;0,6923;0,9204
24/02/2024;0,6641;0,6922;0,921
24/02/2024;0,6629;0,6915;0,9205
24/02/2024;0,6628;0,691;0,9202
24/02/2024;0,6621;0,6904;0,9201
24/02/2024;0,6614;0,6895;0,9197
24/02/2024;0,6615;0,6893;0,9199
24/02/2024;0,6611;0,6888;0,92
24/02/2024;0,6603;0,6883;0,9196
24/02/2024;0,6596;0,6875;0,9194
24/02/2024;0,6592;0,6869;0,9188
24/02/2024;0,658;0,6862;0,9178
24/02/2024;0,6573;0,6853;0,9174
24/02/2024;0,6573;0,6849;0,9178
24/02/2024;0,6565;0,6842;0,9171
24/02/2024;0,656;0,6835;0,9171
24/02/2024;0,6554;0,6826;0,9167
24/02/2024;0,6552;0,6824;0,9167
24/02/2024;0,6541;0,6813;0,9159
24/02/2024;0,6546;0,681;0,9164
24/02/2024;0,6545;0,6805;0,9164
24/02/2024;0,6543;0,6799;0,9166
24/02/2024;0,6542;0,6795;0,9169
24/02/2024;0,6541;0,6797;0,9173
24/02/2024;0,6534;0,679;0,9169
24/02/2024;0,6535;0,6785;0,9173
24/02/2024;0,6531;0,678;0,9163
24/02/2024;0,6523;0,6766;0,9161
24/02/2024;0,6518;0,676;0,916
24/02/2024;0,6517;0,6756;0,9161
24/02/2024;0,6514;0,675;0,9161
24/02/2024;0,6508;0,6743;0,916
24/02/2024;0,6503;0,6738;0,9163
24/02/2024;0,6511;0,6735;0,9168
24/02/2024;0,6511;0,6732;0,9173
24/02/2024;0,6503;0,6722;0,9171
24/02/2024;0,6495;0,6717;0,9168
24/02/2024;0,6487;0,6708;0,9162
24/02/2024;0,6488;0,6704;0,9165
24/02/2024;0,6476;0,6692;0,9156
24/02/2024;0,6472;0,6686;0,9154
24/02/2024;0,6474;0,6682;0,9157
24/02/2024;0,6477;0,6676;0,9161
24/02/2024;0,6478;0,6674;0,9168
24/02/2024;0,647;0,6667;0,9165
24/02/2024;0,6466;0,6661;0,9164
24/02/2024;0,6467;0,6654;0,9167
24/02/2024;0,6463;0,6647;0,9166
24/02/2024;0,6461;0,6638;0,9168
24/02/2024;0,6453;0,6634;0,9161
24/02/2024;0,645;0,6628;0,916
24/02/2024;0,645;0,662;0,9161
24/02/2024;0,6446;0,6617;0,9162
24/02/2024;0,6441;0,661;0,916
24/02/2024;0,6437;0,66;0,9157
24/02/2024;0,6434;0,6597;0,9159
24/02/2024;0,6433;0,6588;0,9155
24/02/2024;0,6437;0,6586;0,9164
24/02/2024;0,6435;0,6584;0,9164
24/02/2024;0,6434;0,6578;0,9165
24/02/2024;0,6425;0,6571;0,9161
24/02/2024;0,6436;0,6571;0,917
24/02/2024;0,6424;0,6564;0,9163
24/02/2024;0,6387;0,656;0,9162
24/02/2024;0,6379;0,6553;0,9156
24/02/2024;0,6384;0,655;0,9162
24/02/2024;0,6381;0,6549;0,9164
24/02/2024;0,6373;0,6539;0,9158
24/02/2024;0,6368;0,6535;0,9156
24/02/2024;0,6368;0,6526;0,9155
24/02/2024;0,6364;0,652;0,915
24/02/2024;0,6365;0,6518;0,9153
24/02/2024;0,6365;0,6514;0,9155
24/02/2024;0,6358;0,6508;0,9149
24/02/2024;0,6356;0,6499;0,9144
24/02/2024;0,6351;0,6493;0,9139
24/02/2024;0,635;0,6489;0,9139
