time_hours,LTC 1 (x=8.0m)_elevation_m,LTC 2 (x=10.0m)_elevation_m,LTC 3 (x=12.5m)_elevation_m,LTC 1 (x=8.0m)_depth_m,LTC 2 (x=10.0m)_depth_m,LTC 3 (x=12.5m)_depth_m
57.5,1.1999555690750654,1.1999530801633256,1.1999571377807035,3.8000444309249346,3.8000469198366744,3.8000428622192963
58.0,1.1999560366702642,1.1999535800907295,1.199957582474989,3.8000439633297356,3.8000464199092705,3.800042417525011
58.5,1.1999562818130998,1.199953841557628,1.199957814733337,3.8000437181869002,3.800046158442372,3.800042185266663
59.0,1.19995673931628,1.1999543301304005,1.199958250275492,3.80004326068372,3.8000456698695997,3.800041749724508
59.5,1.1999569791117595,1.1999545856169518,1.1999584777146726,3.8000430208882405,3.800045414383048,3.800041522285327
60.0,1.199957426812621,1.1999550632115805,1.1999589043359535,3.800042573187379,3.8000449367884195,3.8000410956640467
60.5,1.1999576614245306,1.199955312925426,1.1999591270863572,3.8000423385754694,3.800044687074574,3.800040872913643
61.0,1.199958099610642,1.1999557799089469,1.1999595450200657,3.800041900389358,3.800044220091053,3.8000404549799343
61.5,1.1999583292002376,1.1999560240514566,1.199959763212023,3.8000416707997626,3.8000439759485434,3.800040236787977
62.0,1.199958758153117,1.1999564807780156,1.1999601726894173,3.800041241846883,3.800043519221984,3.8000398273105827
62.5,1.1999589828775428,1.19995671954298,1.1999603864514812,3.8000410171224575,3.80004328045702,3.8000396135485186
63.0,1.1999592441423688,1.1999569974677953,1.1999606355639965,3.8000407558576312,3.8000430025322047,3.8000393644360035
63.5,1.1999596880315062,1.1999574696282176,1.1999610597161987,3.800040311968494,3.8000425303717824,3.8000389402838013
64.0,1.1999599115611534,1.1999577068825455,1.1999612726365585,3.8000400884388466,3.8000422931174542,3.8000387273634413
64.5,1.1999601673028413,1.199957978608539,1.1999615167719273,3.8000398326971587,3.800042021391461,3.8000384832280725
65.0,1.1999605998258094,1.1999584381509951,1.1999619305144003,3.8000394001741906,3.800041561849005,3.8000380694855997
65.5,1.1999608173139218,1.199958668750356,1.1999621379200818,3.800039182686078,3.800041331249644,3.8000378620799182
