time_hours,LTC 1 (x=8.0m)_elevation_m,LTC 2 (x=10.0m)_elevation_m,LTC 3 (x=12.5m)_elevation_m,LTC 1 (x=8.0m)_depth_m,LTC 2 (x=10.0m)_depth_m,LTC 3 (x=12.5m)_depth_m
21.0,1.1999468258257995,1.1999362607883035,1.1999516672950887,3.8000531741742005,3.8000637392116965,3.800048332704911
22.0,1.1999488554571518,1.199939253836931,1.1999532303508498,3.800051144542848,3.8000607461630693,3.8000467696491502
23.0,1.1999507188854532,1.1999419631652721,1.19995468731484,3.8000492811145468,3.800058036834728,3.8000453126851603
24.0,1.199952437506832,1.1999444275457334,1.1999560503433377,3.8000475624931678,3.8000555724542666,3.8000439496566623
25.0,1.1999540292608075,1.1999466791921578,1.1999573298311534,3.8000459707391925,3.800053320807842,3.8000426701688466
26.0,1.1999555092647949,1.1999487450493527,1.1999585346793054,3.800044490735205,3.800051254950647,3.8000414653206946
27.0,1.1999568903174018,1.1999506477920767,1.19995967252337,3.800043109682598,3.8000493522079233,3.80004032747663
28.0,1.1999581833029376,1.1999524066110725,1.1999607499281169,3.800041816697062,3.8000475933889275,3.800039250071883
29.0,1.1999593975192742,1.1999540378377471,1.199961772553058,3.800040602480726,3.800045962162253,3.800038227446942
30.0,1.1999605409453977,1.199955555444529,1.199962745293269,3.8000394590546023,3.8000444445554713,3.800037254706731
31.0,1.1999616204609493,1.1999569714483183,1.1999636723991918,3.8000383795390507,3.8000430285516815,3.8000363276008082
32.0,1.199962642027086,1.199958296237552,1.199964557578451,3.800037357972914,3.800041703762448,3.800035442421549
33.0,1.1999636108357716,1.1999595388384128,1.1999654040821122,3.8000363891642284,3.8000404611615872,3.8000345959178876
34.0,1.1999645314330256,1.199960707132122,1.1999662147773413,3.8000354685669744,3.800039292867878,3.8000337852226584
35.0,1.199965407820525,1.1999618080326597,1.199966992208145,3.800034592179475,3.8000381919673405,3.800033007791855
36.0,1.199966017818254,1.1999625741554498,1.1999675323370866,3.8000339821817457,3.8000374258445504,3.8000324676629136
37.0,1.1999669236532993,1.1999636983062862,1.1999683442419888,3.8000330763467005,3.800036301693714,3.800031655758011
