time_hours,LTC 1 (x=8.0m)_elevation_m,LTC 2 (x=10.0m)_elevation_m,LTC 3 (x=12.5m)_elevation_m,LTC 1 (x=8.0m)_depth_m,LTC 2 (x=10.0m)_depth_m,LTC 3 (x=12.5m)_depth_m
0.0,1.5,1.5,1.5,3.5,3.5,3.5
1.0,1.5000227855178518,1.4989429865849364,1.500225608708653,3.499977214482148,3.5010570134150636,3.4997743912913473
2.0,1.4999029136324464,1.4995673088793573,1.4999950943655276,3.5000970863675533,3.5004326911206425,3.5000049056344724
3.0,1.4998990593262704,1.4997257412403369,1.4999578372557834,3.50010094067373,3.500274258759663,3.500042162744217
4.0,1.4999043089108755,1.4997959719858542,1.499945365434556,3.5000956910891245,3.5002040280141458,3.500054634565444
5.0,1.4999102320239133,1.4998284274425955,1.4999402817487943,3.5000897679760867,3.5001715725574045,3.5000597182512054
6.0,1.500003523244276,1.4999498551458907,1.4999623270071387,3.499996476755724,3.500050144854109,3.5000376729928613
7.0,1.5004750450215065,1.5005073973512366,1.500106842044316,3.4995249549784937,3.4994926026487634,3.4998931579556842
8.0,1.5038506467799935,1.5054335416314617,1.501600662731697,3.4961493532200065,3.4945664583685385,3.498399337268303
9.0,1.5240562972282496,1.540575728361715,1.5123962679062113,3.47594370277175,3.459424271638285,3.4876037320937887
10.0,1.643258810632668,1.844702046951725,1.5858439301276364,3.356741189367332,3.155297953048275,3.4141560698723636
11.0,1.8988591949431823,2.1378773513889495,1.7158551183135424,3.1011408050568177,2.8621226486110505,3.2841448816864576
12.0,2.1861598755080855,2.206677514638682,1.851251707904168,2.8138401244919145,2.793322485361318,3.1487482920958323
13.0,2.353218851503055,2.2469374202348744,1.9404146223238024,2.646781148496945,2.7530625797651256,3.0595853776761976
14.0,2.4311961048431745,2.2739337081252358,1.9863155751227657,2.5688038951568255,2.7260662918747642,3.0136844248772343
15.0,2.464582620285645,2.2899795196922863,2.0111469071430634,2.535417379714355,2.7100204803077137,2.9888530928569366
16.0,2.47389463555807,2.2986306329419053,2.027447996469,2.52610536444193,2.7013693670580947,2.972552003531
17.0,2.4708625691106736,2.302784921690247,2.0393249768662387,2.5291374308893264,2.697215078309753,2.9606750231337613
18.0,2.460964565389778,2.3035991829582665,2.0491054480392563,2.539035434610222,2.6964008170417335,2.9508945519607437
19.0,2.4469952361437537,2.3017124641825877,2.056745557140509,2.5530047638562463,2.6982875358174123,2.943254442859491
20.0,2.430376599475224,2.297602793676008,2.062700035074342,2.569623400524776,2.702397206323992,2.937299964925658
21.0,2.413048329578647,2.2920066904725194,2.0672301667042836,2.586951670421353,2.7079933095274806,2.9327698332957164
22.0,2.3946535448450064,2.28498575792178,2.0702994563116284,2.6053464551549936,2.71501424207822,2.9297005436883716
23.0,2.375812417014866,2.276891563393223,2.0720670830134824,2.624187582985134,2.723108436606777,2.9279329169865176
24.0,2.357097461485635,2.2678894248342893,2.072646825014365,2.642902538514365,2.7321105751657107,2.927353174985635
25.0,2.339691861214962,2.258407216350869,2.0722691878929216,2.660308138785038,2.741592783649131,2.9277308121070784
26.0,2.32202366031867,2.2486249942130963,2.0709806028851463,2.67797633968133,2.7513750057869037,2.9290193971148537
27.0,2.3044179793404993,2.238616455008379,2.0688870735102105,2.6955820206595007,2.761383544991621,2.9311129264897895
28.0,2.2870408981738155,2.2280820150538463,2.0660748280396164,2.7129591018261845,2.7719179849461537,2.9339251719603836
29.0,2.2701265409329516,2.217668637219536,2.0627217987565425,2.7298734590670484,2.782331362780464,2.9372782012434575
30.0,2.2536211426615056,2.2070121221713466,2.0588132914694057,2.7463788573384944,2.7929878778286534,2.9411867085305943
31.0,2.238178162651902,2.196463598775968,2.0544866124016226,2.761821837348098,2.803536401224032,2.9455133875983774
32.0,2.224303250875989,2.1860483909262585,2.0498848957275486,2.775696749124011,2.8139516090737415,2.9501151042724514
33.0,2.209941164148758,2.175587525137045,2.0449341858188013,2.790058835851242,2.824412474862955,2.9550658141811987
34.0,2.1957819401183674,2.165155558001858,2.0397203718037287,2.8042180598816326,2.834844441998142,2.9602796281962713
35.0,2.1819019060504385,2.1547186030152794,2.034243548894384,2.8180980939495615,2.8452813969847206,2.965756451105616
36.0,2.1683687658803814,2.144380077546525,2.028588091350928,2.8316312341196186,2.855619922453475,2.971411908649072
37.0,2.155150108514053,2.1341674633922594,2.0228321807661978,2.844849891485947,2.8658325366077406,2.9771678192338022
38.0,2.1421712916911555,2.1240615205858986,2.0169046116134393,2.8578287083088445,2.8759384794141014,2.9830953883865607
39.0,2.12967231541873,2.114481761557995,2.010892658551722,2.87032768458127,2.885518238442005,2.989107341448278
40.0,2.1179597290693604,2.1050862908875367,2.004935145953203,2.8820402709306396,2.8949137091124633,2.995064854046797
41.0,2.107448071892824,2.0959527674244742,1.9989086428508827,2.892551928107176,2.9040472325755258,3.001091357149117
42.0,2.096540833199771,2.0868259033721372,1.9929937303800345,2.903459166800229,2.9131740966278628,3.0070062696199655
43.0,2.085729436600056,2.077744845273856,1.9869083563904792,2.914270563399944,2.922255154726144,3.0130916436095205
44.0,2.075100169729681,2.0687511776934455,1.9808996887942645,2.924899830270319,2.9312488223065545,3.0191003112057357
45.0,2.064653338705659,2.0598317977646636,1.9747803370150976,2.935346661294341,2.9401682022353364,3.0252196629849024
46.0,2.0543963141854196,2.0510151140946475,1.9686996754763915,2.9456036858145804,2.9489848859053525,3.0313003245236088
47.0,2.0443094225907448,2.0422742224828205,1.9625568164576876,2.9556905774092552,2.9577257775171795,3.0374431835423126
