Time (d);LTC 101;LTC 102;LTC 103
19.1;1.3272789076690923;1.3316239154860368;1.308141231452562
19.200000000000003;1.3262192675238975;1.33054322999873;1.3078746541835324
19.3;1.3248335839684717;1.3291082287649845;1.3073359302506569
19.400000000000002;1.3230937665156424;1.3272582456105013;1.3064781936253371
19.5;1.3210589584104693;1.325070158475752;1.3053302958710205
19.6;1.3187734784847296;1.3226138507038157;1.3039136919365364
19.700000000000003;1.3162996340126452;1.319972233144708;1.302275335344839
19.8;1.3136982053807742;1.3172168666642887;1.3004700939697011
19.900000000000002;1.3110106979633434;1.3143923658892787;1.2985373185984777
20;1.3082692453117921;1.3115295956488986;1.2965085149052358
20.1;1.3055009199916279;1.3086528975246738;1.2944128305050986
20.200000000000003;1.3027254453099546;1.30578253586979;1.2922673332671826
20.3;1.2999618291600565;1.3029367175699245;1.2900958065722337
20.400000000000002;1.297222224668589;1.3001253520229454;1.287914097747434
20.5;1.294515806641785;1.297355631528796;1.2857324224096027
20.6;1.2918477567934412;1.294630544349487;1.283558992258124
20.700000000000003;1.2892253092758426;1.2919560470752758;1.2814008086283588
20.8;1.2866563169686176;1.2893386181877569;1.2792653976496482
20.900000000000002;1.2841479754416125;1.2867840151486982;1.277160357331594
21;1.2816861242790385;1.2842766392697023;1.275080502105892
21.1;1.2792821035183033;1.2818274453051186;1.27303397807583
21.200000000000003;1.2769267437829812;1.2794269067746191;1.2710170128858465
21.3;1.2746259774973983;1.2770809877002411;1.2690348449033728
21.400000000000002;1.2723811225527168;1.2747912540642028;1.2670897985506022
21.5;1.2701930213654269;1.2725590025020386;1.2651839032454857
21.6;1.2680623561342286;1.270385361054809;1.2633191251017017
21.700000000000003;1.2659878394269837;1.2682688892079594;1.2614954186449874
21.799999999999997;1.2639720233859235;1.2662111158872273;1.2597147403509827
21.900000000000002;1.2620236509366833;1.2642172243422414;1.2579792531921157
22;1.2601802106360063;1.2623355337353832;1.256304033888733
22.1;1.2585496656823063;1.2607252114730192;1.2547568940228446
22.200000000000003;1.2572687365349176;1.2595683973874257;1.253446905014459
22.299999999999997;1.2564893025316028;1.2590350680931677;1.252507156882839
22.400000000000002;1.2561264996692498;1.2589917904359715;1.2518934170491691
22.5;1.2561953535476198;1.2594196784920386;1.251634367991841
22.6;1.2566530262483526;1.2602283925946252;1.2517099451392844
22.700000000000003;1.257410222145431;1.261296888837707;1.2520526591788494
22.799999999999997;1.2584125579043477;1.2625543849808347;1.2526182701228767
22.900000000000002;1.259582401682205;1.2639321350204507;1.2533351376667137
23;1.260915991299657;1.2654245217179907;1.2541956162351002
23.1;1.2624146638974716;1.2670363922442245;1.2551956963849467
23.200000000000003;1.2640483065788748;1.2687513283138872;1.256309138969679
23.299999999999997;1.265844709973738;1.2705967093250852;1.2575638180582027
23.400000000000002;1.2677347143625861;1.2725195436897943;1.2589025314564442
23.5;1.2697382273944113;1.2745380686126835;1.260347309369321
23.6;1.2718323799706746;1.2766348387216446;1.2618811496778093
23.700000000000003;1.2740087130865179;1.2788045029923152;1.263501029877027
23.799999999999997;1.2762393080593444;1.2810232992623065;1.2651793800001583
23.900000000000002;1.2785441461703029;1.2833098901555795;1.2669364657488729
24;1.280904828169158;1.285647638061061;1.2687488796133428
24.1;1.2833428280533428;1.2880556293388123;1.2706296609736274
24.200000000000003;1.285875837491046;1.2905477871636624;1.2725807611365811
24.299999999999997;1.288519242744494;1.293137676531159;1.274606346601877
24.4;1.291283288850682;1.2958372452400637;1.2767159427686146
24.5;1.294147127485919;1.2986295059522075;1.278898849391535
24.599999999999998;1.2971245263006586;1.3015331053786394;1.2811706191345744
24.700000000000003;1.3002160155380935;1.3045624495450596;1.283539824844068
24.799999999999997;1.303409264070736;1.3077224426363652;1.2860072263604023
24.9;1.3066648108300978;1.3109725047368812;1.2885412282474025
25;1.3099899664439223;1.3143552404373702;1.291186768236695
25.099999999999998;1.313200359009757;1.317679127530299;1.2938631744527322
