day;rain (mm)
0;0
1;0
2;0
3;0
4;0
5;0
6;7,4
7;0
8;0
9;3
10;0,4
11;0
12;0,6
13;4,2
14;0
15;0
16;14,4
17;1,4
18;0
19;0
20;0
21;0
22;2,8
23;4,4
24;7,4
25;1,6
26;0
27;0
28;0
29;0
30;0
